,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,total
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26
1,1,3,0,0,5,1,1,4,4,0,0,3,3,4,8,1,0,0,3,1,3,0,1,0,5,0,51
2,12,40,30,12,30,35,31,41,16,17,11,37,27,34,35,43,0,39,48,49,7,8,31,0,16,3,652
3,28,176,157,67,66,135,133,132,32,42,60,160,154,64,53,191,16,141,289,164,28,52,130,0,41,13,2524
4,104,303,360,80,139,244,201,150,77,48,59,171,227,98,95,296,45,186,683,270,79,80,146,6,23,19,4189
5,150,535,632,154,269,340,303,262,180,87,84,331,395,137,184,551,35,454,815,461,228,134,213,5,33,35,7007
6,164,571,869,169,418,438,344,290,224,84,98,310,482,150,268,760,48,463,1073,513,170,167,241,9,19,31,8373
7,226,582,869,213,519,454,302,317,347,67,64,325,597,183,341,835,66,474,1242,515,225,200,243,13,16,29,9264
8,206,470,929,203,536,363,285,359,480,60,48,273,529,173,311,920,51,434,1111,454,215,180,190,9,16,24,8829
9,226,347,822,150,477,266,194,312,532,50,27,210,455,128,224,827,35,364,872,385,203,118,114,4,14,11,7367
10,156,201,674,113,317,182,134,232,468,21,21,139,288,98,164,643,24,227,581,277,129,89,110,11,4,13,5316
11,105,107,447,71,230,87,69,161,394,18,6,82,220,73,100,456,22,161,436,154,93,45,65,7,5,8,3622
12,59,59,281,50,106,44,42,105,265,5,14,47,132,48,62,313,24,97,262,124,67,28,32,4,1,4,2275
13,26,37,134,15,36,20,25,62,136,2,3,34,58,25,24,151,12,42,171,57,23,8,25,1,3,2,1132
14,10,15,94,8,30,8,9,27,84,1,4,14,27,10,10,75,10,11,89,23,10,7,6,0,1,3,586
15,6,12,38,4,13,1,6,13,51,0,2,8,13,4,5,35,2,3,28,12,6,0,3,0,0,0,265
16,2,6,26,1,6,1,1,4,15,0,3,3,3,1,3,17,1,3,20,7,2,2,0,0,0,0,127
17,0,4,5,0,5,1,1,3,7,0,0,1,4,1,1,3,0,0,4,6,0,0,1,0,0,0,47
18,0,2,5,0,5,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,18
19,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7
